-------------------------------------ping (cycle)
's': Emergency Stop and reset
cted single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
-------------------------------------
4D Phantom Controller Initializing...
Expected single cycle time: 0m 8s 100ms
Available commands:
'l': Start continuous looping (cycle)
's': Emergency Stop and reset
Starting 4-axis synchronized cycle loop...
Time(ms), M1(SI) Target Steps, M2(Lat) Target Steps, M3(AP) Target Steps, M4(Chest) Target Steps, M3 Encoder Steps
12854, -27, 975, -116, 420, 34
12955, 36, 972, -123, 450, 27
13056, 99, 969, -129, 485, 19
13157, 162, 966, -136, 520, 8
13258, 225, 963, -143, 565, -4
13359, 288, 960, -150, 610, -17
13460, 255, 963, -189, 635, -29
13561, 222, 966, -229, 660, -38
13662, 189, 969, -268, 680, -46
13763, 156, 972, -308, 700, -52
13864, 123, 975, -347, 715, -56
13965, 90, 978, -386, 730, -58
14066, 57, 981, -426, 740, -57
14167, 24, 984, -465, 750, -53
14268, 30, 1023, -459, 770, -48
14369, 36, 1062, -453, 790, -40
14470, 42, 1101, -446, 800, -31
14571, 48, 1140, -440, 810, -23
14673, 54, 1179, -434, 815, -17
14774, 60, 1218, -428, 820, -13
14875, 66, 1257, -421, 825, -11
14976, 72, 1296, -415, 830, -13
15077, 60, 1290, -351, 840, -14
15178, 48, 1284, -288, 850, -13
15279, 36, 1278, -224, 855, -11
15380, 24, 1272, -160, 860, -8
15481, 12, 1266, -96, 865, -6
15582, 0, 1260, -33, 870, -3
15683, -12, 1254, 31, 880, -1
15784, -24, 1248, 95, 890, 2
15885, -24, 1248, 95, 890, 2
15986, -24, 1248, 95, 890, 2
16087, 9, 1233, 53, 875, 0
16188, 42, 1218, 10, 860, -4
16289, 75, 1203, -33, 840, -10
16390, 108, 1188, -75, 820, -16
16491, 141, 1173, -118, 795, -23
16592, 174, 1158, -160, 770, -29
16694, 207, 1143, -203, 735, -36
16795, 240, 1128, -245, 700, -42
16896, 246, 1131, -239, 650, -47
16998, 252, 1134, -234, 600, -51
17099, 258, 1137, -228, 555, -54
17200, 264, 1140, -223, 510, -56
17301, 270, 1143, -217, 450, -58
17402, 276, 1146, -211, 390, -59
17503, 282, 1149, -206, 360, -60
17604, 288, 1152, -200, 330, -61
17705, 237, 1038, -177, 300, -60
17807, 186, 924, -154, 270, -57
17908, 135, 810, -131, 240, -51
18009, 84, 696, -108, 210, -43
18110, 33, 582, -84, 180, -34
18212, -18, 468, -61, 150, -24
18313, -69, 354, -38, 125, -14
18415, -120, 240, -15, 100, -4
18516, -105, 210, -13, 80, 5
18618, -90, 180, -11, 60, 11
18719, -75, 150, -9, 45, 16
18820, -60, 120, -8, 30, 19
18921, -45, 90, -6, 20, 20
19022, -30, 60, -4, 10, 17
19123, 0, 0, 0, 0, 13
19224, -15, 93, -1, 10, 7
19325, -30, 186, -1, 20, 3
19426, -45, 279, -2, 35, 0
19527, -60, 372, -3, 50, 1
19628, -75, 465, -3, 70, 4
19729, -90, 558, -4, 90, 9
19830, -105, 651, -4, 110, 13
19931, -120, 744, -5, 130, 18
20032, -132, 774, -16, 155, 21
20133, -144, 804, -28, 180, 24
20234, -156, 834, -39, 210, 27
20335, -168, 864, -50, 240, 29
20436, -180, 894, -61, 270, 32
20538, -192, 924, -73, 300, 34
20639, -204, 954, -84, 320, 36
20740, -216, 984, -95, 340, 39
20841, -153, 981, -102, 365, 40
20943, -90, 978, -109, 390, 38
21044, -27, 975, -116, 420, 34
21145, 36, 972, -123, 450, 27
21246, 99, 969, -129, 485, 19
